segment_id,constituency_id,segment_name,segment_type,analysis_date,total_voters,percentage_of_total,demographics,geographic_concentration,support_level,top_issues,engagement_score,contact_coverage_pct,last_contact_date,preferred_channels,key_messengers,priority_level,target_message,recommended_actions,estimated_conversion_rate,turnout_tendency,loyalty_score,swing_potential,budget_allocated,volunteers_assigned,events_planned,created_at,updated_at
9ca4c258-65b3-4107-a1ee-48d6d6d5e8c2,PC01,demographic_11_adilabad,demographic,2025-11-01,190448,17.92,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Asifabad"", ""voter_count"": 2226, ""concentration_pct"": 17.25}, {""ward"": ""Khanapur"", ""voter_count"": 3313, ""concentration_pct"": 22.86}, {""ward"": ""Chennur"", ""voter_count"": 1069, ""concentration_pct"": 25.56}]","{""strong_favorable"": 70860, ""leaning_favorable"": 42490, ""neutral"": 34761, ""opposition"": 39302, ""undecided"": 3035}","[{""issue"": ""water_supply"", ""priority_level"": ""medium"", ""satisfaction_score"": 72}, {""issue"": ""healthcare"", ""priority_level"": ""high"", ""satisfaction_score"": 50}, {""issue"": ""education"", ""priority_level"": ""low"", ""satisfaction_score"": 67}]",60,63.34,2025-04-21,"[""events"", ""whatsapp""]","[""Leader_1"", ""Leader_4"", ""Leader_2"", ""Leader_2""]",medium,"[""Message theme 2"", ""Message theme 4"", ""Message theme 4""]","[""Phone banking"", ""Community events"", ""Social media outreach"", ""Door-to-door campaign""]",0.42,medium,74,low,447357.56,10,3,2025-12-05 12:30:12.083106,2025-12-05 12:30:12.083107
f0b2f26f-66b9-47a6-acbe-0ea1db596468,PC01,issue_based_12_adilabad,issue_based,2025-01-01,199167,18.74,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Mancherial"", ""voter_count"": 2898, ""concentration_pct"": 21.15}, {""ward"": ""Chennur"", ""voter_count"": 4670, ""concentration_pct"": 26.58}, {""ward"": ""Adilabad"", ""voter_count"": 3582, ""concentration_pct"": 10.43}]","{""strong_favorable"": 75250, ""leaning_favorable"": 35026, ""neutral"": 20657, ""opposition"": 45969, ""undecided"": 22265}","[{""issue"": ""water_supply"", ""priority_level"": ""low"", ""satisfaction_score"": 45}, {""issue"": ""healthcare"", ""priority_level"": ""medium"", ""satisfaction_score"": 77}, {""issue"": ""employment"", ""priority_level"": ""medium"", ""satisfaction_score"": 60}]",84,53.26,2025-08-19,"[""door_to_door"", ""phone"", ""social_media""]","[""Leader_4"", ""Leader_7""]",medium,"[""Message theme 4"", ""Message theme 2"", ""Message theme 5"", ""Message theme 2""]","[""Social media outreach"", ""Door-to-door campaign"", ""Community events""]",0.41,high,68,medium,301481.92,28,8,2025-12-05 12:30:12.083136,2025-12-05 12:30:12.083136
ba696eb6-5735-4828-8b36-0bf2280410b9,PC02,issue_based_1_peddapalle,issue_based,2025-10-01,167983,17.33,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Peddapalle"", ""voter_count"": 4851, ""concentration_pct"": 24.13}, {""ward"": ""Karimnagar"", ""voter_count"": 4786, ""concentration_pct"": 16.34}, {""ward"": ""Huzurabad"", ""voter_count"": 1485, ""concentration_pct"": 10.51}]","{""strong_favorable"": 34399, ""leaning_favorable"": 33556, ""neutral"": 28137, ""opposition"": 27973, ""undecided"": 43918}","[{""issue"": ""education"", ""priority_level"": ""high"", ""satisfaction_score"": 58}, {""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 84}, {""issue"": ""healthcare"", ""priority_level"": ""low"", ""satisfaction_score"": 57}]",40,79.57,2025-03-20,"[""door_to_door"", ""whatsapp""]","[""Leader_8"", ""Leader_7""]",high,"[""Message theme 2"", ""Message theme 4""]","[""Door-to-door campaign"", ""Door-to-door campaign""]",0.26,high,63,low,53662.54,50,8,2025-12-05 12:30:12.083165,2025-12-05 12:30:12.083165
7e70d313-1408-4dc5-9726-797053de33ec,PC02,issue_based_2_peddapalle,issue_based,2025-08-01,86440,8.92,"{""age_group"": ""all"", ""gender"": ""male"", ""occupation_category"": ""agriculture"", ""income_level"": ""lower"", ""education_level"": ""primary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Choppadandi"", ""voter_count"": 1880, ""concentration_pct"": 27.65}, {""ward"": ""Husnabad"", ""voter_count"": 2197, ""concentration_pct"": 12.61}, {""ward"": ""Vemulawada"", ""voter_count"": 4395, ""concentration_pct"": 23.24}]","{""strong_favorable"": 17520, ""leaning_favorable"": 16840, ""neutral"": 9689, ""opposition"": 11700, ""undecided"": 30691}","[{""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 84}, {""issue"": ""infrastructure"", ""priority_level"": ""low"", ""satisfaction_score"": 73}, {""issue"": ""healthcare"", ""priority_level"": ""medium"", ""satisfaction_score"": 55}]",69,78.6,2025-01-25,"[""events"", ""door_to_door"", ""whatsapp"", ""phone""]","[""Leader_5"", ""Leader_5""]",high,"[""Message theme 4"", ""Message theme 4"", ""Message theme 2""]","[""Community events"", ""Door-to-door campaign"", ""Door-to-door campaign"", ""Community events""]",0.43,high,79,high,347225.29,22,13,2025-12-05 12:30:12.083194,2025-12-05 12:30:12.083194
35d1fb4d-ccac-4901-bdae-5028c1fd8f77,PC02,demographic_3_peddapalle,demographic,2025-06-01,87930,9.07,"{""age_group"": ""all"", ""gender"": ""female"", ""occupation_category"": ""homemaker_worker"", ""income_level"": ""lower_middle"", ""education_level"": ""secondary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Sircilla"", ""voter_count"": 4715, ""concentration_pct"": 14.44}, {""ward"": ""Vemulawada"", ""voter_count"": 3856, ""concentration_pct"": 16.57}, {""ward"": ""Karimnagar"", ""voter_count"": 3083, ""concentration_pct"": 22.23}]","{""strong_favorable"": 33915, ""leaning_favorable"": 17099, ""neutral"": 11965, ""opposition"": 20061, ""undecided"": 4890}","[{""issue"": ""employment"", ""priority_level"": ""medium"", ""satisfaction_score"": 85}, {""issue"": ""education"", ""priority_level"": ""high"", ""satisfaction_score"": 72}, {""issue"": ""water_supply"", ""priority_level"": ""low"", ""satisfaction_score"": 57}]",54,36.72,2025-10-12,"[""events"", ""social_media"", ""whatsapp""]","[""Leader_2"", ""Leader_1""]",low,"[""Message theme 2"", ""Message theme 4""]","[""Door-to-door campaign"", ""Phone banking""]",0.42,high,79,high,423348.33,46,3,2025-12-05 12:30:12.083222,2025-12-05 12:30:12.083222
fa51b09e-134b-42ae-bd00-01f75abbcc48,PC02,demographic_4_peddapalle,demographic,2025-12-01,152968,15.78,"{""age_group"": ""all"", ""gender"": ""male"", ""occupation_category"": ""agriculture"", ""income_level"": ""lower"", ""education_level"": ""primary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Vemulawada"", ""voter_count"": 3414, ""concentration_pct"": 26.4}, {""ward"": ""Huzurabad"", ""voter_count"": 4458, ""concentration_pct"": 17.76}, {""ward"": ""Peddapalle"", ""voter_count"": 1983, ""concentration_pct"": 15.96}]","{""strong_favorable"": 48191, ""leaning_favorable"": 35744, ""neutral"": 29944, ""opposition"": 22634, ""undecided"": 16455}","[{""issue"": ""employment"", ""priority_level"": ""high"", ""satisfaction_score"": 57}, {""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 47}, {""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 65}]",54,31.71,2025-03-23,"[""events"", ""whatsapp"", ""social_media"", ""phone""]","[""Leader_8"", ""Leader_4"", ""Leader_2""]",medium,"[""Message theme 1"", ""Message theme 2""]","[""Social media outreach"", ""Door-to-door campaign""]",0.43,low,72,low,104070.14,43,13,2025-12-05 12:30:12.083250,2025-12-05 12:30:12.083250
013d7810-e2b8-405a-aed8-40de5c6d59a7,PC02,geographic_5_peddapalle,geographic,2025-05-01,58741,6.06,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Vemulawada"", ""voter_count"": 2678, ""concentration_pct"": 21.05}, {""ward"": ""Sircilla"", ""voter_count"": 2414, ""concentration_pct"": 14.46}, {""ward"": ""Karimnagar"", ""voter_count"": 2903, ""concentration_pct"": 11.76}]","{""strong_favorable"": 16497, ""leaning_favorable"": 11498, ""neutral"": 6095, ""opposition"": 14315, ""undecided"": 10336}","[{""issue"": ""employment"", ""priority_level"": ""medium"", ""satisfaction_score"": 57}, {""issue"": ""education"", ""priority_level"": ""high"", ""satisfaction_score"": 71}, {""issue"": ""water_supply"", ""priority_level"": ""low"", ""satisfaction_score"": 70}]",77,77.17,2025-12-09,"[""door_to_door"", ""phone""]","[""Leader_1"", ""Leader_2""]",high,"[""Message theme 1"", ""Message theme 2"", ""Message theme 5""]","[""Social media outreach"", ""Door-to-door campaign"", ""Phone banking"", ""Community events""]",0.17,low,91,low,420525.26,50,7,2025-12-05 12:30:12.083278,2025-12-05 12:30:12.083278
01783c44-35c5-4980-9036-b51b2fb352f2,PC02,demographic_6_peddapalle,demographic,2025-08-01,135173,13.95,"{""age_group"": ""youth_18_35"", ""gender"": ""all"", ""occupation_category"": ""students_professionals"", ""income_level"": ""lower_middle"", ""education_level"": ""graduate"", ""religion"": ""all"", ""caste_category"": ""general""}","[{""ward"": ""Sircilla"", ""voter_count"": 3420, ""concentration_pct"": 18.34}, {""ward"": ""Husnabad"", ""voter_count"": 1480, ""concentration_pct"": 27.37}, {""ward"": ""Huzurabad"", ""voter_count"": 4236, ""concentration_pct"": 27.22}]","{""strong_favorable"": 48555, ""leaning_favorable"": 24879, ""neutral"": 26835, ""opposition"": 20988, ""undecided"": 13916}","[{""issue"": ""education"", ""priority_level"": ""low"", ""satisfaction_score"": 58}, {""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 50}, {""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 54}]",67,73.19,2025-03-11,"[""whatsapp"", ""events""]","[""Leader_8"", ""Leader_3""]",low,"[""Message theme 5"", ""Message theme 4""]","[""Social media outreach"", ""Community events"", ""Phone banking"", ""Phone banking""]",0.29,low,62,medium,485370.22,50,7,2025-12-05 12:30:12.083305,2025-12-05 12:30:12.083306
4537a7f1-4831-4c60-a270-5cbf7ea4d7e0,PC02,loyalty_7_peddapalle,loyalty,2025-08-01,183686,18.95,"{""age_group"": ""all"", ""gender"": ""male"", ""occupation_category"": ""agriculture"", ""income_level"": ""lower"", ""education_level"": ""primary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Husnabad"", ""voter_count"": 3144, ""concentration_pct"": 12.0}, {""ward"": ""Huzurabad"", ""voter_count"": 2731, ""concentration_pct"": 14.56}, {""ward"": ""Peddapalle"", ""voter_count"": 3762, ""concentration_pct"": 24.59}]","{""strong_favorable"": 37907, ""leaning_favorable"": 37851, ""neutral"": 33423, ""opposition"": 33929, ""undecided"": 40576}","[{""issue"": ""education"", ""priority_level"": ""medium"", ""satisfaction_score"": 71}, {""issue"": ""education"", ""priority_level"": ""high"", ""satisfaction_score"": 70}, {""issue"": ""water_supply"", ""priority_level"": ""high"", ""satisfaction_score"": 56}]",47,33.31,2025-10-25,"[""events"", ""social_media"", ""phone""]","[""Leader_1"", ""Leader_7"", ""Leader_9""]",medium,"[""Message theme 5"", ""Message theme 4"", ""Message theme 1"", ""Message theme 4""]","[""Door-to-door campaign"", ""Door-to-door campaign""]",0.27,high,63,high,401196.02,19,7,2025-12-05 12:30:12.083333,2025-12-05 12:30:12.083333
79689bc6-c8e7-428d-a6c5-714311a710d0,PC02,issue_based_8_peddapalle,issue_based,2025-06-01,90364,9.32,"{""age_group"": ""all"", ""gender"": ""male"", ""occupation_category"": ""agriculture"", ""income_level"": ""lower"", ""education_level"": ""primary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Vemulawada"", ""voter_count"": 2697, ""concentration_pct"": 27.1}, {""ward"": ""Sircilla"", ""voter_count"": 3157, ""concentration_pct"": 12.26}, {""ward"": ""Peddapalle"", ""voter_count"": 3947, ""concentration_pct"": 16.25}]","{""strong_favorable"": 19960, ""leaning_favorable"": 15763, ""neutral"": 18008, ""opposition"": 13477, ""undecided"": 23156}","[{""issue"": ""education"", ""priority_level"": ""high"", ""satisfaction_score"": 65}, {""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 85}, {""issue"": ""employment"", ""priority_level"": ""medium"", ""satisfaction_score"": 77}]",40,38.1,2025-06-10,"[""door_to_door"", ""phone"", ""whatsapp"", ""social_media""]","[""Leader_1"", ""Leader_7"", ""Leader_6""]",medium,"[""Message theme 2"", ""Message theme 1"", ""Message theme 3""]","[""Door-to-door campaign"", ""Social media outreach""]",0.26,low,70,high,290711.75,14,13,2025-12-05 12:30:12.083361,2025-12-05 12:30:12.083361
