booth_id,constituency_id,booth_number,booth_name,location_ward,analysis_date,total_voters,male_voters,female_voters,first_time_voters,senior_voters,booth_score,risk_level,competitive_threat_score,booth_agents,active_volunteers,booth_committee_strength,last_meeting_date,surveyed_by,verification_date,created_at,updated_at
PC01_B018,PC01,B018,Polling Station 18,Asifabad,2025-11-01,5756,2993,2762,460,690,48,vulnerable,38,5,11,strong,2025-11-05,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B019,PC01,B019,Polling Station 19,Chennur,2025-11-01,5776,3003,2772,462,693,70,moderate,54,2,5,moderate,2025-10-13,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B020,PC01,B020,Polling Station 20,Khanapur,2025-11-01,5762,2996,2765,460,691,64,moderate,55,5,14,moderate,2025-10-15,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B021,PC01,B021,Polling Station 21,Asifabad,2025-11-01,5803,3017,2785,464,696,85,secure,39,5,9,weak,2025-11-02,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B022,PC01,B022,Polling Station 22,Mancherial,2025-11-01,5770,3000,2769,461,692,50,vulnerable,72,4,6,strong,2025-11-13,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B023,PC01,B023,Polling Station 23,Khanapur,2025-11-01,5789,3010,2778,463,694,88,secure,59,2,20,moderate,2025-10-01,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B024,PC01,B024,Polling Station 24,Adilabad,2025-11-01,5702,2965,2736,456,684,78,secure,71,4,10,weak,2025-11-04,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B025,PC01,B025,Polling Station 25,Boath,2025-11-01,5842,3037,2804,467,701,47,vulnerable,53,3,5,moderate,2025-11-25,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B026,PC01,B026,Polling Station 26,Asifabad,2025-11-01,5696,2961,2734,455,683,79,secure,30,4,17,strong,2025-11-07,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B027,PC01,B027,Polling Station 27,Nirmal,2025-11-01,5793,3012,2780,463,695,65,moderate,77,4,7,strong,2025-10-04,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B028,PC01,B028,Polling Station 28,Asifabad,2025-11-01,5708,2968,2739,456,684,80,secure,45,3,11,strong,2025-10-16,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B029,PC01,B029,Polling Station 29,Asifabad,2025-11-01,5842,3037,2804,467,701,79,secure,66,3,20,strong,2025-11-13,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B030,PC01,B030,Polling Station 30,Asifabad,2025-11-01,5792,3011,2780,463,695,65,moderate,66,4,12,moderate,2025-10-20,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B031,PC01,B031,Polling Station 31,Boath,2025-11-01,5718,2973,2744,457,686,79,secure,48,4,11,weak,2025-11-04,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B032,PC01,B032,Polling Station 32,Nirmal,2025-11-01,5774,3002,2771,461,692,90,secure,53,2,17,weak,2025-11-05,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B033,PC01,B033,Polling Station 33,Chennur,2025-11-01,5851,3042,2808,468,702,71,moderate,26,4,19,weak,2025-10-19,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B034,PC01,B034,Polling Station 34,Adilabad,2025-11-01,5779,3005,2773,462,693,51,vulnerable,57,3,15,weak,2025-10-14,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B035,PC01,B035,Polling Station 35,Mancherial,2025-11-01,5849,3041,2807,467,701,50,vulnerable,56,5,8,moderate,2025-11-17,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B036,PC01,B036,Polling Station 36,Adilabad,2025-11-01,5676,2951,2724,454,681,80,secure,75,4,5,weak,2025-11-23,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B037,PC01,B037,Polling Station 37,Mancherial,2025-11-01,5730,2979,2750,458,687,64,moderate,75,2,5,strong,2025-11-04,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B038,PC01,B038,Polling Station 38,Khanapur,2025-11-01,5794,3012,2781,463,695,93,secure,53,2,11,weak,2025-11-17,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B039,PC01,B039,Polling Station 39,Asifabad,2025-11-01,5723,2975,2747,457,686,87,secure,67,3,5,strong,2025-11-15,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B040,PC01,B040,Polling Station 40,Chennur,2025-11-01,5791,3011,2779,463,694,56,vulnerable,27,3,16,strong,2025-11-17,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B041,PC01,B041,Polling Station 41,Adilabad,2025-11-01,5735,2982,2752,458,688,57,vulnerable,32,2,17,strong,2025-11-03,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B042,PC01,B042,Polling Station 42,Adilabad,2025-11-01,5687,2957,2729,454,682,55,vulnerable,80,3,16,strong,2025-11-24,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B043,PC01,B043,Polling Station 43,Mancherial,2025-11-01,5708,2968,2739,456,684,74,moderate,48,2,20,moderate,2025-11-18,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B044,PC01,B044,Polling Station 44,Asifabad,2025-11-01,5786,3008,2777,462,694,46,vulnerable,53,3,14,moderate,2025-10-15,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B045,PC01,B045,Polling Station 45,Adilabad,2025-11-01,5873,3053,2819,469,704,55,vulnerable,72,3,13,strong,2025-10-06,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B046,PC01,B046,Polling Station 46,Chennur,2025-11-01,5768,2999,2768,461,692,71,moderate,58,2,20,weak,2025-11-02,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B047,PC01,B047,Polling Station 47,Mancherial,2025-11-01,5824,3028,2795,465,698,57,vulnerable,46,4,7,moderate,2025-10-05,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B048,PC01,B048,Polling Station 48,Chennur,2025-11-01,5868,3051,2816,469,704,55,vulnerable,35,4,10,weak,2025-11-03,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B049,PC01,B049,Polling Station 49,Khanapur,2025-11-01,5861,3047,2813,468,703,78,secure,69,4,8,strong,2025-11-30,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B050,PC01,B050,Polling Station 50,Khanapur,2025-11-01,5772,3001,2770,461,692,52,vulnerable,53,4,16,strong,2025-11-13,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B051,PC01,B051,Polling Station 51,Mancherial,2025-11-01,5826,3029,2796,466,699,54,vulnerable,33,3,12,moderate,2025-10-12,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B052,PC01,B052,Polling Station 52,Asifabad,2025-11-01,5806,3019,2786,464,696,72,moderate,54,2,5,moderate,2025-11-20,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B053,PC01,B053,Polling Station 53,Mancherial,2025-11-01,5784,3007,2776,462,694,74,moderate,63,4,12,strong,2025-10-30,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B054,PC01,B054,Polling Station 54,Chennur,2025-11-01,5755,2992,2762,460,690,60,vulnerable,47,5,15,weak,2025-11-25,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B055,PC01,B055,Polling Station 55,Boath,2025-11-01,5688,2957,2730,455,682,68,moderate,58,4,19,moderate,2025-11-08,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B056,PC01,B056,Polling Station 56,Boath,2025-11-01,5758,2994,2763,460,690,60,vulnerable,47,3,16,moderate,2025-10-16,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B057,PC01,B057,Polling Station 57,Asifabad,2025-11-01,5686,2956,2729,454,682,83,secure,66,3,19,moderate,2025-10-29,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B058,PC01,B058,Polling Station 58,Boath,2025-11-01,5868,3051,2816,469,704,46,vulnerable,33,5,17,weak,2025-11-23,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B059,PC01,B059,Polling Station 59,Boath,2025-11-01,5741,2985,2755,459,688,68,moderate,27,4,17,weak,2025-10-18,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B060,PC01,B060,Polling Station 60,Adilabad,2025-11-01,5700,2964,2736,456,684,76,secure,33,4,18,moderate,2025-11-09,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B061,PC01,B061,Polling Station 61,Khanapur,2025-11-01,5771,3000,2770,461,692,84,secure,73,2,6,moderate,2025-10-02,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B062,PC01,B062,Polling Station 62,Adilabad,2025-11-01,5767,2998,2768,461,692,80,secure,52,2,7,strong,2025-10-30,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B063,PC01,B063,Polling Station 63,Mancherial,2025-11-01,5756,2993,2762,460,690,74,moderate,20,2,7,moderate,2025-11-16,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B064,PC01,B064,Polling Station 64,Mancherial,2025-11-01,5741,2985,2755,459,688,59,vulnerable,50,4,8,strong,2025-11-09,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B065,PC01,B065,Polling Station 65,Nirmal,2025-11-01,5682,2954,2727,454,681,59,vulnerable,34,3,18,weak,2025-11-27,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B066,PC01,B066,Polling Station 66,Boath,2025-11-01,5685,2956,2728,454,682,54,vulnerable,66,2,5,moderate,2025-10-13,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B067,PC01,B067,Polling Station 67,Mancherial,2025-11-01,5820,3026,2793,465,698,53,vulnerable,39,2,14,strong,2025-10-17,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B068,PC01,B068,Polling Station 68,Mancherial,2025-11-01,5690,2958,2731,455,682,69,moderate,33,5,20,moderate,2025-10-25,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B069,PC01,B069,Polling Station 69,Boath,2025-11-01,5692,2959,2732,455,683,74,moderate,78,5,17,weak,2025-11-13,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B070,PC01,B070,Polling Station 70,Adilabad,2025-11-01,5718,2973,2744,457,686,94,secure,59,3,15,moderate,2025-10-28,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B071,PC01,B071,Polling Station 71,Mancherial,2025-11-01,5861,3047,2813,468,703,48,vulnerable,57,4,16,strong,2025-11-14,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B072,PC01,B072,Polling Station 72,Chennur,2025-11-01,5760,2995,2764,460,691,47,vulnerable,53,2,13,strong,2025-11-17,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B073,PC01,B073,Polling Station 73,Khanapur,2025-11-01,5768,2999,2768,461,692,54,vulnerable,32,2,5,strong,2025-10-27,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B074,PC01,B074,Polling Station 74,Mancherial,2025-11-01,5803,3017,2785,464,696,46,vulnerable,79,4,15,strong,2025-10-05,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B075,PC01,B075,Polling Station 75,Adilabad,2025-11-01,5820,3026,2793,465,698,71,moderate,72,3,18,moderate,2025-10-04,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B076,PC01,B076,Polling Station 76,Asifabad,2025-11-01,5821,3026,2794,465,698,63,moderate,41,4,6,strong,2025-11-07,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B077,PC01,B077,Polling Station 77,Adilabad,2025-11-01,5818,3025,2792,465,698,79,secure,50,2,10,weak,2025-10-27,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B078,PC01,B078,Polling Station 78,Khanapur,2025-11-01,5853,3043,2809,468,702,66,moderate,54,5,19,weak,2025-10-06,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B079,PC01,B079,Polling Station 79,Boath,2025-11-01,5717,2972,2744,457,686,93,secure,35,5,15,strong,2025-10-06,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B080,PC01,B080,Polling Station 80,Khanapur,2025-11-01,5779,3005,2773,462,693,88,secure,38,5,8,moderate,2025-10-28,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B081,PC01,B081,Polling Station 81,Khanapur,2025-11-01,5819,3025,2793,465,698,58,vulnerable,45,2,5,moderate,2025-10-08,surveyor_8,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B082,PC01,B082,Polling Station 82,Asifabad,2025-11-01,5727,2978,2748,458,687,69,moderate,54,5,5,moderate,2025-10-12,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B083,PC01,B083,Polling Station 83,Boath,2025-11-01,5852,3043,2808,468,702,91,secure,27,2,6,weak,2025-11-19,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B084,PC01,B084,Polling Station 84,Asifabad,2025-11-01,5707,2967,2739,456,684,45,vulnerable,79,3,16,strong,2025-10-26,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B085,PC01,B085,Polling Station 85,Khanapur,2025-11-01,5829,3031,2797,466,699,57,vulnerable,55,2,13,strong,2025-11-20,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B086,PC01,B086,Polling Station 86,Nirmal,2025-11-01,5814,3023,2790,465,697,60,vulnerable,29,5,16,moderate,2025-11-29,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B087,PC01,B087,Polling Station 87,Mancherial,2025-11-01,5843,3038,2804,467,701,45,vulnerable,62,5,6,moderate,2025-11-11,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B088,PC01,B088,Polling Station 88,Nirmal,2025-11-01,5862,3048,2813,468,703,74,moderate,32,4,20,weak,2025-10-06,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B089,PC01,B089,Polling Station 89,Chennur,2025-11-01,5764,2997,2766,461,691,91,secure,61,5,5,weak,2025-10-25,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B090,PC01,B090,Polling Station 90,Mancherial,2025-11-01,5778,3004,2773,462,693,65,moderate,52,5,11,strong,2025-10-24,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B091,PC01,B091,Polling Station 91,Khanapur,2025-11-01,5683,2955,2727,454,681,59,vulnerable,31,2,15,moderate,2025-10-31,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B092,PC01,B092,Polling Station 92,Boath,2025-11-01,5835,3034,2800,466,700,89,secure,62,2,10,weak,2025-11-30,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B093,PC01,B093,Polling Station 93,Nirmal,2025-11-01,5804,3018,2785,464,696,74,moderate,53,5,19,strong,2025-10-09,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B094,PC01,B094,Polling Station 94,Chennur,2025-11-01,5781,3006,2774,462,693,72,moderate,56,3,8,weak,2025-10-08,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B095,PC01,B095,Polling Station 95,Khanapur,2025-11-01,5688,2957,2730,455,682,64,moderate,59,4,11,strong,2025-10-20,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B096,PC01,B096,Polling Station 96,Nirmal,2025-11-01,5832,3032,2799,466,699,60,vulnerable,67,2,14,strong,2025-11-22,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B097,PC01,B097,Polling Station 97,Mancherial,2025-11-01,5690,2958,2731,455,682,62,moderate,46,3,10,moderate,2025-11-08,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B098,PC01,B098,Polling Station 98,Adilabad,2025-11-01,5692,2959,2732,455,683,90,secure,47,3,17,strong,2025-11-05,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B099,PC01,B099,Polling Station 99,Boath,2025-11-01,5824,3028,2795,465,698,77,secure,48,5,8,moderate,2025-10-07,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B100,PC01,B100,Polling Station 100,Boath,2025-11-01,5744,2986,2757,459,689,53,vulnerable,75,3,20,weak,2025-11-30,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B101,PC01,B101,Polling Station 101,Khanapur,2025-11-01,5870,3052,2817,469,704,81,secure,68,4,12,weak,2025-10-27,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B102,PC01,B102,Polling Station 102,Mancherial,2025-11-01,5723,2975,2747,457,686,89,secure,49,4,7,strong,2025-11-13,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B103,PC01,B103,Polling Station 103,Nirmal,2025-11-01,5717,2972,2744,457,686,88,secure,31,3,8,weak,2025-10-16,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B104,PC01,B104,Polling Station 104,Boath,2025-11-01,5756,2993,2762,460,690,76,secure,79,3,15,moderate,2025-10-15,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B105,PC01,B105,Polling Station 105,Chennur,2025-11-01,5688,2957,2730,455,682,76,secure,42,4,19,weak,2025-11-27,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B106,PC01,B106,Polling Station 106,Chennur,2025-11-01,5710,2969,2740,456,685,56,vulnerable,69,4,5,moderate,2025-10-04,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B107,PC01,B107,Polling Station 107,Nirmal,2025-11-01,5810,3021,2788,464,697,50,vulnerable,43,3,7,weak,2025-10-13,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B108,PC01,B108,Polling Station 108,Mancherial,2025-11-01,5715,2971,2743,457,685,51,vulnerable,54,4,10,weak,2025-10-29,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B109,PC01,B109,Polling Station 109,Mancherial,2025-11-01,5793,3012,2780,463,695,93,secure,53,3,17,moderate,2025-11-18,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B110,PC01,B110,Polling Station 110,Khanapur,2025-11-01,5747,2988,2758,459,689,45,vulnerable,70,2,19,moderate,2025-11-29,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B111,PC01,B111,Polling Station 111,Chennur,2025-11-01,5737,2983,2753,458,688,52,vulnerable,63,2,10,weak,2025-11-18,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B112,PC01,B112,Polling Station 112,Mancherial,2025-11-01,5806,3019,2786,464,696,52,vulnerable,46,5,5,strong,2025-10-11,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B113,PC01,B113,Polling Station 113,Khanapur,2025-11-01,5844,3038,2805,467,701,79,secure,65,4,5,strong,2025-10-09,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B114,PC01,B114,Polling Station 114,Nirmal,2025-11-01,5752,2991,2760,460,690,60,vulnerable,80,3,17,strong,2025-11-09,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B115,PC01,B115,Polling Station 115,Boath,2025-11-01,5730,2979,2750,458,687,49,vulnerable,69,4,11,strong,2025-10-30,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B116,PC01,B116,Polling Station 116,Nirmal,2025-11-01,5680,2953,2726,454,681,51,vulnerable,59,2,17,strong,2025-11-13,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B117,PC01,B117,Polling Station 117,Boath,2025-11-01,5837,3035,2801,466,700,76,secure,46,5,18,moderate,2025-11-14,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B118,PC01,B118,Polling Station 118,Khanapur,2025-11-01,5696,2961,2734,455,683,61,moderate,45,5,18,weak,2025-10-06,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B119,PC01,B119,Polling Station 119,Mancherial,2025-11-01,5684,2955,2728,454,682,84,secure,80,2,12,moderate,2025-11-13,surveyor_5,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B120,PC01,B120,Polling Station 120,Khanapur,2025-11-01,5866,3050,2815,469,703,83,secure,48,3,17,weak,2025-11-10,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B121,PC01,B121,Polling Station 121,Mancherial,2025-11-01,5828,3030,2797,466,699,56,vulnerable,58,5,17,moderate,2025-10-24,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B122,PC01,B122,Polling Station 122,Boath,2025-11-01,5702,2965,2736,456,684,54,vulnerable,64,5,12,strong,2025-11-26,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B123,PC01,B123,Polling Station 123,Boath,2025-11-01,5801,3016,2784,464,696,92,secure,52,4,11,moderate,2025-10-16,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B124,PC01,B124,Polling Station 124,Asifabad,2025-11-01,5821,3026,2794,465,698,67,moderate,58,2,14,strong,2025-10-30,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
