kpi_id,constituency_id,report_date,visits_conducted,people_contacted,grievances_received,grievances_resolved,events_conducted,resources_distributed,promises_on_track,promises_delayed,alert_count,critical_alerts,sentiment_score,media_mentions,social_engagement,created_at
387c1c8a-440f-400f-8a68-a456b76e39fe,PC01,2025-01-14,4,742,16,8,0,49,22,3,1,0,0.51,9,4701,2025-01-14 23:55:00
099089ad-461c-4035-a4dd-7db7e0d62087,PC01,2025-01-15,3,516,5,7,3,106,20,2,3,1,0.66,8,2113,2025-01-15 23:55:00
ad37cee5-bcc2-4e31-9234-f7cc33df6f25,PC01,2025-01-16,2,107,17,10,1,117,18,8,3,1,0.63,9,3679,2025-01-16 23:55:00
45fc2af1-37bb-4757-8ce8-ab70786d9c95,PC01,2025-01-17,0,140,22,15,0,49,20,3,2,0,0.8,11,813,2025-01-17 23:55:00
35625687-c461-4433-b72e-836361f4e226,PC01,2025-01-18,2,527,23,17,0,121,28,6,8,1,0.43,6,2822,2025-01-18 23:55:00
f922b55c-398c-4f64-a5cb-da65a55dc922,PC01,2025-01-19,5,395,8,5,2,138,15,8,2,0,0.58,0,2137,2025-01-19 23:55:00
c219dbd4-75e8-4d2c-b8ce-a537da8f9415,PC01,2025-01-20,1,252,16,8,1,141,17,3,7,3,0.8,5,1292,2025-01-20 23:55:00
33bbb09a-832a-48e6-840b-a34cbd43e27f,PC01,2025-01-21,2,610,10,18,0,106,26,8,1,2,0.79,12,1331,2025-01-21 23:55:00
b4a77500-e747-41e7-a7c9-8512015427a3,PC01,2025-01-22,5,451,12,18,2,135,27,6,5,3,0.43,5,2520,2025-01-22 23:55:00
940789d6-4c1f-422c-af1f-7dc71e90d4b9,PC01,2025-01-23,4,261,10,6,1,99,19,3,2,3,0.81,1,1410,2025-01-23 23:55:00
08e67faf-21ef-4072-abf1-2745e793c56e,PC01,2025-01-24,4,170,6,15,1,50,15,3,6,3,0.59,5,3597,2025-01-24 23:55:00
64ec7741-7ad2-4bec-b58a-4c5ae0df7c32,PC01,2025-01-25,5,760,22,30,1,3,27,2,1,1,0.48,1,532,2025-01-25 23:55:00
e7aecee2-7a3a-442e-8b0b-5430137e220d,PC01,2025-01-26,3,76,26,28,2,116,28,7,5,3,0.77,2,3307,2025-01-26 23:55:00
a9716498-3925-4e25-b97e-8007db6e96f9,PC01,2025-01-27,1,775,30,5,1,122,15,7,3,1,0.79,5,1270,2025-01-27 23:55:00
ca2a446f-2af6-4fc8-81f4-eb0640747a46,PC01,2025-01-28,2,140,32,30,1,122,17,4,1,3,0.54,6,4964,2025-01-28 23:55:00
a41aa8fb-6592-4a3b-86bf-279b95e2895a,PC01,2025-01-29,4,325,16,12,0,58,22,3,7,0,0.45,0,3053,2025-01-29 23:55:00
cfe726c7-56d2-4376-a455-7c99b400a749,PC01,2025-01-30,1,784,18,23,2,75,29,2,5,0,0.64,7,2764,2025-01-30 23:55:00
0d6f0cb5-271e-4e5f-bf65-65d7573f2e7f,PC01,2025-01-31,2,482,31,11,1,13,24,8,5,1,0.6,11,2328,2025-01-31 23:55:00
2e670479-d3c3-4dc5-bacc-cdcd70a6913b,PC01,2025-02-01,5,281,26,3,1,58,20,8,5,2,0.59,4,2570,2025-02-01 23:55:00
50dc1256-0b59-4c38-861d-30b8c1c3fbf5,PC01,2025-02-02,4,541,21,5,1,42,28,2,7,3,0.73,5,695,2025-02-02 23:55:00
ee7b1805-31a3-4ef5-8766-11eb55324d7c,PC01,2025-02-03,2,109,28,12,1,134,22,6,2,0,0.44,9,4420,2025-02-03 23:55:00
0c8764c9-cc1a-48ee-b4ce-bf1da28e1b99,PC01,2025-02-04,2,446,16,23,3,62,22,3,4,2,0.62,11,3293,2025-02-04 23:55:00
e07e949d-c853-43c3-9dac-9f4b4a8b4a81,PC01,2025-02-05,1,536,18,30,3,126,16,8,4,0,0.79,11,4564,2025-02-05 23:55:00
4beaaefc-d9c1-4d59-b5a5-51d1a76241f9,PC01,2025-02-06,4,506,28,22,2,51,30,6,7,1,0.54,11,2617,2025-02-06 23:55:00
5fed3e3c-22b2-4022-a178-953aa2733ac3,PC01,2025-02-07,0,721,22,5,2,68,24,4,1,0,0.53,10,2299,2025-02-07 23:55:00
e399c298-6905-45ac-9925-5ad0e4f1104f,PC01,2025-02-08,0,641,13,19,3,29,28,5,3,0,0.67,3,2725,2025-02-08 23:55:00
632eb949-4da3-45d4-aa7c-d254ef927b4c,PC01,2025-02-09,3,304,26,18,0,36,24,4,6,1,0.41,11,4539,2025-02-09 23:55:00
c87d77ed-2e86-41b4-a70b-5f96202169a1,PC01,2025-02-10,1,735,11,8,1,24,30,5,8,1,0.59,10,4239,2025-02-10 23:55:00
7f645b27-8ce6-4f2c-bb82-7212927d871a,PC01,2025-02-11,5,639,24,19,1,126,18,8,6,3,0.78,1,2243,2025-02-11 23:55:00
b9165de5-5970-4466-a806-e1800793998b,PC01,2025-02-12,3,553,34,29,3,130,15,6,3,0,0.74,9,915,2025-02-12 23:55:00
b74fff7c-a816-41b1-af21-3c6c7a1fad26,PC01,2025-02-13,4,580,9,9,3,79,25,7,6,2,0.65,2,4082,2025-02-13 23:55:00
ff26b574-84dd-440d-bbc0-9533c068cfa9,PC01,2025-02-14,3,556,35,19,1,23,16,2,7,1,0.81,7,1502,2025-02-14 23:55:00
7c242113-3a92-4f5a-8b25-c7dd539b6ee7,PC01,2025-02-15,0,481,16,8,2,95,29,8,4,2,0.84,1,4605,2025-02-15 23:55:00
cc6cfbc4-f6b7-487c-b9a1-7ee75e241765,PC01,2025-02-16,0,130,23,7,3,123,22,7,7,0,0.45,8,2953,2025-02-16 23:55:00
e55a7b62-367a-48f0-80c3-696eec1e98be,PC01,2025-02-17,1,326,33,24,3,100,16,3,4,3,0.75,4,4787,2025-02-17 23:55:00
09cc1abf-8d3d-4e19-a65e-33e449d64247,PC01,2025-02-18,1,630,34,9,2,13,19,8,6,2,0.56,11,2745,2025-02-18 23:55:00
bce7eb47-5b26-4dda-8a00-9052f5095c3d,PC01,2025-02-19,5,56,18,15,3,48,16,3,7,1,0.45,7,920,2025-02-19 23:55:00
a429d832-5e1b-4f69-8b7b-0270d6033fb5,PC01,2025-02-20,0,490,16,20,2,78,28,2,5,3,0.53,12,4037,2025-02-20 23:55:00
5c3ddf8a-c086-43cd-850f-4b473aee7ea2,PC01,2025-02-21,2,61,25,7,0,134,22,2,4,0,0.81,0,1474,2025-02-21 23:55:00
7d3305c8-7d61-4bc2-bf3f-eb9cd5b1fbe1,PC01,2025-02-22,0,751,6,25,1,43,17,7,4,1,0.55,2,3997,2025-02-22 23:55:00
d07f259c-9bbe-408c-aedf-15074bf31317,PC01,2025-02-23,1,725,7,5,0,140,23,6,2,3,0.7,9,4301,2025-02-23 23:55:00
a12da9b9-8f85-4b8b-b1a8-1af546b24eb6,PC01,2025-02-24,5,66,19,25,0,126,26,2,8,0,0.78,3,1290,2025-02-24 23:55:00
18616a1c-4d0e-4042-984f-b344199e1b82,PC01,2025-02-25,5,438,15,6,3,16,30,5,6,1,0.63,7,732,2025-02-25 23:55:00
5e13fc69-7653-4eef-91c4-dc5cc82df1e9,PC01,2025-02-26,4,328,5,14,2,127,15,3,1,3,0.42,11,4439,2025-02-26 23:55:00
96756b15-0087-43a5-8cb7-0cd8c95eeb28,PC01,2025-02-27,2,69,16,3,0,77,16,7,5,2,0.74,5,4276,2025-02-27 23:55:00
c25ea328-009d-4688-84c1-52f07ba60808,PC01,2025-02-28,2,153,20,23,1,51,18,4,5,2,0.54,7,4996,2025-02-28 23:55:00
5f67f1ee-5212-4f7b-95dc-c83852d278f0,PC01,2025-03-01,3,436,9,10,3,79,30,2,5,3,0.44,10,2529,2025-03-01 23:55:00
63982b79-1c8c-4569-8409-b1d5ff8ce128,PC01,2025-03-02,5,630,14,25,3,15,21,7,8,2,0.53,5,2967,2025-03-02 23:55:00
aaaf82ad-7170-485a-a7c1-7dfcab0847c1,PC01,2025-03-03,1,704,18,13,3,145,25,4,4,2,0.79,7,3234,2025-03-03 23:55:00
f676ffd9-2afc-4f22-8f1f-e6588c06db10,PC01,2025-03-04,0,345,13,14,1,138,25,2,2,1,0.8,4,2971,2025-03-04 23:55:00
9e550875-26d5-45e3-a6ae-ac95807fae2c,PC01,2025-03-05,2,508,16,28,3,144,21,4,3,1,0.59,9,4658,2025-03-05 23:55:00
6966b969-80a2-4659-ae9d-5c8a103ceb7f,PC01,2025-03-06,1,333,25,23,0,50,20,8,6,0,0.62,12,1035,2025-03-06 23:55:00
90fa10e5-b059-4cf0-82be-8f7543559084,PC01,2025-03-07,3,548,26,10,2,1,24,4,1,0,0.59,3,1664,2025-03-07 23:55:00
7377cd22-464e-42b1-8dbf-079ac0ab161c,PC01,2025-03-08,2,677,35,4,2,105,28,2,6,1,0.66,7,3781,2025-03-08 23:55:00
03e70083-1246-43cf-98ff-7621def3a3d4,PC01,2025-03-09,5,709,22,24,1,6,22,7,4,2,0.64,11,3287,2025-03-09 23:55:00
550fa3d1-b5d1-40d3-b421-54742b62c7d7,PC01,2025-03-10,0,213,28,19,2,110,22,8,2,1,0.64,1,635,2025-03-10 23:55:00
7a292f14-c3e8-4a1a-b3d5-e8f30f536777,PC01,2025-03-11,3,140,23,28,3,147,17,6,4,1,0.85,12,3591,2025-03-11 23:55:00
7e029d48-210b-48d0-b295-677bfc7154a6,PC01,2025-03-12,2,623,7,26,3,137,23,3,5,3,0.8,2,3566,2025-03-12 23:55:00
4454191b-f898-4e16-bf43-0780f3cae63b,PC01,2025-03-13,4,262,23,19,2,105,21,5,1,0,0.69,1,4174,2025-03-13 23:55:00
b1eb5cf9-6c09-40b7-b19e-d7f3fe7eba88,PC01,2025-03-14,5,621,16,20,0,88,16,3,4,2,0.44,7,979,2025-03-14 23:55:00
f8366967-d60b-46e5-87f9-903d8be1f44c,PC01,2025-03-15,5,658,14,22,1,102,30,4,1,0,0.66,0,4199,2025-03-15 23:55:00
d2a9ffff-30f2-4f54-b035-f1de469a7fc0,PC01,2025-03-16,2,574,9,20,2,10,22,4,6,2,0.44,2,1011,2025-03-16 23:55:00
aded64a4-4198-422c-a882-40ae0fa8c132,PC01,2025-03-17,1,380,33,7,0,149,18,3,7,3,0.71,5,3225,2025-03-17 23:55:00
f11eafb4-70ea-461d-873a-f3b8aeb4867b,PC01,2025-03-18,3,533,8,9,3,147,18,7,4,1,0.76,1,4793,2025-03-18 23:55:00
408d1927-3e77-44dc-b1c1-bbf3537676f0,PC01,2025-03-19,4,238,10,22,3,5,30,8,8,3,0.45,4,2757,2025-03-19 23:55:00
5502897c-9d5d-40a5-a50c-256afe79a250,PC01,2025-03-20,2,796,14,14,3,128,23,6,2,2,0.62,10,1566,2025-03-20 23:55:00
a391aa0a-bd9c-492f-aa4d-857f24224c2d,PC01,2025-03-21,5,473,30,29,3,64,15,6,1,1,0.72,0,1569,2025-03-21 23:55:00
452cbd36-7c6e-40af-8470-c6f1fbc44fba,PC01,2025-03-22,4,248,11,9,1,89,25,7,3,0,0.83,12,1638,2025-03-22 23:55:00
c58d063b-927d-41bf-8869-4bc20d335136,PC01,2025-03-23,0,783,22,15,1,107,29,8,8,0,0.78,5,3867,2025-03-23 23:55:00
17881c8d-93fd-4c52-b4bb-bffeef45f093,PC01,2025-03-24,4,67,13,15,2,29,19,8,2,0,0.41,5,3254,2025-03-24 23:55:00
ab048b63-8d67-4911-8e1e-7fcbffd0fda7,PC01,2025-03-25,2,372,34,14,1,108,29,6,5,1,0.71,1,2265,2025-03-25 23:55:00
5ee109e8-085b-4ae4-a4fc-5ed6eb5bdbfe,PC01,2025-03-26,2,191,11,27,2,100,15,2,1,0,0.81,7,1324,2025-03-26 23:55:00
c3ac01c2-b964-46bb-9eb0-015d1008d44b,PC01,2025-03-27,0,149,19,25,0,56,24,7,1,3,0.66,10,3103,2025-03-27 23:55:00
ea8db1e4-0535-4560-a0cd-0f80f87074e4,PC01,2025-03-28,3,354,9,12,2,11,16,5,6,1,0.58,1,3532,2025-03-28 23:55:00
e8b53678-c545-4540-b68a-5e483b6a3283,PC01,2025-03-29,2,467,25,19,2,52,21,3,7,2,0.55,3,1019,2025-03-29 23:55:00
90a9a5cf-b7cb-4a41-8ef3-d6b544468223,PC01,2025-03-30,4,292,32,6,0,133,27,3,8,1,0.65,6,605,2025-03-30 23:55:00
f07f38dd-9c63-47aa-a065-d4004b2f0798,PC01,2025-03-31,0,590,10,4,0,54,26,3,8,1,0.83,9,4757,2025-03-31 23:55:00
21b649a0-41a4-4644-add7-42bea8614fff,PC01,2025-04-01,5,457,30,21,0,30,20,4,5,3,0.71,10,1481,2025-04-01 23:55:00
1af707f5-c480-43d1-801c-a4fa50a44910,PC01,2025-04-02,5,643,7,9,1,41,22,2,2,2,0.45,4,3537,2025-04-02 23:55:00
cd84ee10-a1ed-4bd8-9ecc-d9887040f40f,PC01,2025-04-03,1,680,7,13,2,139,15,3,7,0,0.46,1,2992,2025-04-03 23:55:00
3e8d131d-c4de-4f47-9e72-bd07f52e960d,PC01,2025-04-04,0,531,22,30,2,105,26,2,2,0,0.4,10,1200,2025-04-04 23:55:00
d7b150c7-bc72-4f26-9267-88e5ff50c9f7,PC01,2025-04-05,1,725,10,6,0,129,29,2,1,1,0.82,5,4838,2025-04-05 23:55:00
c76f71df-3596-4ba7-8c0a-10b8b8d69dbf,PC01,2025-04-06,4,150,19,15,3,144,30,8,2,3,0.66,6,4848,2025-04-06 23:55:00
6c6c454d-44a2-49b1-869a-3d8ff71f1718,PC01,2025-04-07,5,497,20,5,2,94,27,7,8,3,0.67,11,4815,2025-04-07 23:55:00
a63fa6c2-bcaa-4117-b225-c674caf07ca3,PC01,2025-04-08,2,426,14,29,2,119,26,5,5,0,0.4,0,1294,2025-04-08 23:55:00
ff7b3d1f-9163-4621-8bb6-22562ff870c7,PC01,2025-04-09,5,157,20,18,3,132,30,3,5,2,0.51,1,2732,2025-04-09 23:55:00
5daac34c-920c-4e3e-9e03-ab03f02be3e5,PC01,2025-04-10,1,97,7,18,1,9,28,3,4,2,0.44,4,700,2025-04-10 23:55:00
79436115-e269-4be6-8514-e76f43c44b29,PC01,2025-04-11,4,607,10,28,0,117,21,6,8,1,0.69,7,3831,2025-04-11 23:55:00
ecec0d84-375e-4ff5-bc20-97579cb89bdf,PC01,2025-04-12,1,800,13,6,0,140,29,2,3,3,0.84,2,2046,2025-04-12 23:55:00
7315ec6a-1d4a-41e8-a3a1-42cb25c8caa9,PC01,2025-04-13,0,133,17,28,2,72,18,6,1,3,0.61,4,2945,2025-04-13 23:55:00
aac17424-983a-496d-860e-575d8de5ecd8,PC01,2025-04-14,0,50,13,3,3,3,21,5,5,3,0.49,7,4988,2025-04-14 23:55:00
b6926434-eda4-47be-b591-2c305b1e7e9d,PC01,2025-04-15,0,684,9,19,2,121,17,8,3,3,0.54,3,1878,2025-04-15 23:55:00
42bc5ec4-86a8-4da1-a7d1-8deb2c074c4c,PC01,2025-04-16,1,319,17,20,0,69,16,6,4,2,0.82,0,4604,2025-04-16 23:55:00
ad998a93-e488-49da-b31d-98ba521e4984,PC01,2025-04-17,4,170,21,8,1,60,24,6,5,0,0.41,0,4988,2025-04-17 23:55:00
afb2295d-0c56-4b95-a63f-5f4fe9466dd2,PC01,2025-04-18,0,741,20,29,3,42,22,4,8,0,0.63,6,2291,2025-04-18 23:55:00
ecb1eb16-ac4c-4dba-9f25-2f994bd18703,PC01,2025-04-19,4,440,30,26,0,26,25,2,6,3,0.65,12,3545,2025-04-19 23:55:00
f9d11e10-66ea-4a33-997d-837e7c740f1e,PC01,2025-04-20,0,402,13,30,3,18,21,7,5,2,0.52,8,3283,2025-04-20 23:55:00
e1dec276-283c-4e24-8e14-c0bf01f1731d,PC01,2025-04-21,5,213,5,13,3,100,27,2,7,1,0.48,10,1973,2025-04-21 23:55:00
19cbea85-d36e-4543-9e9b-1b211c6d791d,PC01,2025-04-22,2,453,32,13,2,78,27,7,1,1,0.44,9,4870,2025-04-22 23:55:00
ef295a46-0cb3-42ac-a765-044957e27ff6,PC01,2025-04-23,4,233,23,24,0,66,21,8,4,3,0.81,3,703,2025-04-23 23:55:00
29283116-f695-402e-a8fc-6d6dbe86fa5b,PC01,2025-04-24,0,748,25,19,3,63,23,2,8,0,0.62,1,1993,2025-04-24 23:55:00
596433e0-4f7e-4d1e-9ac2-c9b759fee53f,PC01,2025-04-25,3,266,33,8,1,28,17,8,6,2,0.73,5,1996,2025-04-25 23:55:00
2aaa3599-820c-47ad-9bd6-40f8bb99f575,PC01,2025-04-26,3,196,31,22,1,37,27,4,4,0,0.56,5,4917,2025-04-26 23:55:00
f55f1a25-4af7-4136-9cef-63639692695e,PC01,2025-04-27,4,684,33,25,0,100,19,7,1,1,0.59,1,4429,2025-04-27 23:55:00
aecd1c80-f9c0-406a-8ddf-746cfd225025,PC01,2025-04-28,2,314,5,5,3,130,22,2,8,3,0.57,12,2028,2025-04-28 23:55:00
ece44203-6635-486a-ac8e-ba99bbea4f5b,PC01,2025-04-29,1,358,31,10,1,102,22,8,7,0,0.77,5,3541,2025-04-29 23:55:00
d925a9a7-dd78-40b1-9361-89f4e087628c,PC01,2025-04-30,0,645,6,4,2,54,17,8,2,1,0.41,7,2610,2025-04-30 23:55:00
c19fa5df-4483-4b7b-b937-64508f8c74cc,PC01,2025-05-01,3,50,23,27,2,97,17,3,1,2,0.79,5,1519,2025-05-01 23:55:00
4b16466a-d8fa-43cd-93fa-9be4b56a0e05,PC01,2025-05-02,0,204,14,27,1,19,22,7,8,2,0.77,10,4288,2025-05-02 23:55:00
fe8b69b5-6f4a-45ee-be1f-964350deea2d,PC01,2025-05-03,5,295,22,26,3,69,19,4,5,1,0.48,2,3558,2025-05-03 23:55:00
52121f81-ea2b-4d21-a777-6ab612cdaee0,PC01,2025-05-04,1,200,21,27,2,132,25,8,4,2,0.75,11,1597,2025-05-04 23:55:00
77232959-fafa-4428-b265-a2d38a367750,PC01,2025-05-05,0,165,7,6,2,147,19,4,7,1,0.56,2,4590,2025-05-05 23:55:00
b69e072e-cf18-4956-a7a6-ba2fe80bc0c9,PC01,2025-05-06,0,247,21,7,3,4,20,7,7,2,0.8,0,4446,2025-05-06 23:55:00
38596a70-c4f7-47b7-ab3e-936a964f746b,PC01,2025-05-07,1,491,32,18,0,133,30,5,2,0,0.64,7,1014,2025-05-07 23:55:00
742c2b89-0721-43ae-a949-9dc36880b01b,PC01,2025-05-08,5,672,33,16,3,66,18,5,4,3,0.69,3,3653,2025-05-08 23:55:00
0de97cb7-7be7-47bc-b1dc-701b6c5c1f63,PC01,2025-05-09,5,85,33,8,0,53,18,3,4,2,0.65,9,1109,2025-05-09 23:55:00
086281c9-23c5-4dd1-9714-cd5f03a597f5,PC01,2025-05-10,5,375,26,24,0,108,16,3,3,3,0.45,6,970,2025-05-10 23:55:00
594f1ce5-cab4-4200-baf7-694c2cdcf604,PC01,2025-05-11,2,565,12,28,1,49,24,2,8,1,0.76,5,2400,2025-05-11 23:55:00
13274f9c-70a4-4a5d-97a5-6f754a996c6e,PC01,2025-05-12,3,471,21,8,2,145,22,3,5,3,0.66,11,2690,2025-05-12 23:55:00
a1e29bd9-678f-4c05-84c9-2bd1e32744bc,PC01,2025-05-13,2,371,5,30,2,101,22,5,8,3,0.7,6,1111,2025-05-13 23:55:00
7db055a7-4790-4f10-9e6c-1c5435942862,PC01,2025-05-14,5,577,14,24,3,10,30,4,1,0,0.69,7,4064,2025-05-14 23:55:00
0697e628-e4b5-457d-bcfe-58f7ce02dc61,PC01,2025-05-15,2,292,26,9,3,66,24,3,6,3,0.57,11,4366,2025-05-15 23:55:00
58a0bb4f-851b-4f27-96ce-0a585d24d579,PC01,2025-05-16,4,730,35,16,0,75,21,6,2,1,0.45,1,2830,2025-05-16 23:55:00
67a87d7d-d4aa-428c-9697-f4934cd9a8b4,PC01,2025-05-17,2,642,24,16,0,109,19,8,5,0,0.79,0,4890,2025-05-17 23:55:00
89ebaa3a-a226-499f-a210-32feeada638b,PC01,2025-05-18,2,420,15,11,3,124,22,4,1,2,0.46,12,2814,2025-05-18 23:55:00
147ceb4a-d168-4e7e-9e9b-ad68407d3e5c,PC01,2025-05-19,3,572,32,21,1,29,21,5,2,3,0.51,12,3944,2025-05-19 23:55:00
276357bb-2201-4b92-b7f6-b1677657675b,PC01,2025-05-20,1,467,22,12,1,120,30,3,8,1,0.79,12,3702,2025-05-20 23:55:00
8eb4b84b-ed36-4612-9d66-29f531607ab4,PC01,2025-05-21,1,257,29,16,3,101,17,8,2,3,0.59,0,2473,2025-05-21 23:55:00
465e8382-f68d-4b22-bcfe-f3d6b7e671a1,PC01,2025-05-22,1,194,19,10,1,66,17,2,5,0,0.54,1,4301,2025-05-22 23:55:00
5327340a-18c1-40cf-9d89-6886cbc775a2,PC01,2025-05-23,2,549,10,20,3,108,22,8,7,3,0.44,8,4823,2025-05-23 23:55:00
5a2feb56-367a-483d-b881-baf6c29dff12,PC01,2025-05-24,4,770,33,18,2,0,28,7,5,1,0.46,9,1038,2025-05-24 23:55:00
b81e57c6-ed52-4223-95c7-b622accb4a30,PC01,2025-05-25,0,305,6,21,0,116,16,3,5,2,0.68,12,3784,2025-05-25 23:55:00
c90724d4-8770-41cc-a1aa-bfdf793c9408,PC01,2025-05-26,1,312,11,20,3,5,29,8,4,1,0.49,9,4025,2025-05-26 23:55:00
e46459f6-04ba-424e-809e-cc586a4e712f,PC01,2025-05-27,1,435,9,13,0,48,29,5,3,3,0.76,10,3603,2025-05-27 23:55:00
9d9afae3-234a-46c3-8d64-3b4916f7f954,PC01,2025-05-28,2,381,12,19,2,142,26,2,8,3,0.79,3,3973,2025-05-28 23:55:00
771f43a9-e8f0-4cf3-b64a-96a788967882,PC01,2025-05-29,1,701,11,29,1,3,17,3,2,1,0.85,12,1155,2025-05-29 23:55:00
df6393d1-5de1-4bc1-a779-1cf016cc3782,PC01,2025-05-30,0,660,32,20,1,74,26,6,4,1,0.69,11,645,2025-05-30 23:55:00
ad680964-8417-437c-b797-b3cdf52a5ac7,PC01,2025-05-31,4,307,14,18,0,129,30,2,7,0,0.72,1,1231,2025-05-31 23:55:00
a3af521a-7ff9-47c2-b841-56b92f32054f,PC01,2025-06-01,2,85,19,15,1,52,29,4,8,0,0.73,2,4062,2025-06-01 23:55:00
18a4f810-bd80-427e-b47c-0fc2b34f7dc1,PC01,2025-06-02,5,537,10,30,1,7,24,8,3,0,0.74,2,1273,2025-06-02 23:55:00
9810809a-2406-4d9d-a2a7-645710ccef3f,PC01,2025-06-03,2,535,29,6,3,102,25,3,3,1,0.66,4,1573,2025-06-03 23:55:00
3661eb9c-a722-4c68-b747-fdc225730951,PC01,2025-06-04,0,636,24,19,2,85,15,2,8,3,0.55,12,3255,2025-06-04 23:55:00
ed606f54-f5db-4583-a63e-6abd314f00d9,PC01,2025-06-05,2,505,30,22,0,4,21,6,7,3,0.46,11,2086,2025-06-05 23:55:00
1344a552-a933-47e3-a6d8-75b6f07a976e,PC01,2025-06-06,1,536,29,8,0,24,28,4,7,0,0.43,6,4395,2025-06-06 23:55:00
028f9ed3-1e8d-4443-aac3-5f509b38e3be,PC01,2025-06-07,3,352,7,17,0,57,16,4,3,2,0.76,7,3031,2025-06-07 23:55:00
a7461a13-adcb-416c-85a4-8b529d6f9918,PC01,2025-06-08,5,247,7,30,3,144,27,5,3,3,0.67,11,1301,2025-06-08 23:55:00
1e81ada6-7dc2-4713-ab95-6baeb24edaab,PC01,2025-06-09,1,259,29,20,2,3,25,6,8,0,0.75,6,1523,2025-06-09 23:55:00
d4950113-e690-4c70-a2b0-9a71034c32fc,PC01,2025-06-10,3,458,34,26,1,46,26,8,1,1,0.65,2,2392,2025-06-10 23:55:00
750a10e3-386a-4412-a3eb-f0171ecc1345,PC01,2025-06-11,1,573,7,18,2,132,24,4,3,2,0.72,4,907,2025-06-11 23:55:00
80025d3f-4563-4add-9967-b96bfc1201ac,PC01,2025-06-12,5,212,17,18,3,17,26,7,7,2,0.51,7,3911,2025-06-12 23:55:00
9dec0f1a-a135-451d-8200-bf181cacecf8,PC01,2025-06-13,4,488,14,19,0,36,24,8,3,3,0.75,6,1668,2025-06-13 23:55:00
525afe5d-c23d-4ad5-bbfc-04ec524ae72f,PC01,2025-06-14,1,275,21,29,2,98,23,4,4,2,0.76,10,4010,2025-06-14 23:55:00
0f7a7a21-f5cc-4b3e-82b5-c3e112380da6,PC01,2025-06-15,5,769,8,24,1,48,23,6,3,0,0.4,11,3331,2025-06-15 23:55:00
7d7a5c6d-12c2-4eb1-9ad4-72c39700645b,PC01,2025-06-16,3,767,22,28,2,68,29,2,2,0,0.5,5,2501,2025-06-16 23:55:00
6cad7efd-3ae3-4ed5-99f7-fe5cb4355e84,PC01,2025-06-17,4,309,6,12,3,137,23,7,1,2,0.6,4,3403,2025-06-17 23:55:00
264fd166-f69a-46e1-97b4-5a68a7125749,PC01,2025-06-18,4,637,10,28,3,25,22,5,6,0,0.69,8,4213,2025-06-18 23:55:00
0c3a0cec-ee58-48d2-a584-c2148feb25ef,PC01,2025-06-19,0,542,12,21,0,74,15,2,3,1,0.6,6,1302,2025-06-19 23:55:00
5165bedb-1820-470c-ab29-351d3f0162d1,PC01,2025-06-20,2,480,33,16,0,55,20,2,5,2,0.52,11,4800,2025-06-20 23:55:00
8ad6a336-7831-44c0-9ce4-a7777c30e050,PC01,2025-06-21,4,319,13,21,1,127,26,6,4,0,0.73,12,3064,2025-06-21 23:55:00
